,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Acc
270,Fe,1,448.3777,0.0003,448.37762,5e-05,110,E
271,Fe,1,434.3869,0.0004,434.38726,3e-05,110,
272,Fe,1,442.8567,0.0004,442.85702,3e-05,110,
273,Fe,1,449.2678,0.00016,449.26783,3e-05,107,D
274,Fe,1,444.6896,0.0003,444.68956,3e-05,105,
275,Fe,1,444.08236,0.00016,444.08243,3e-05,102,E
276,Fe,1,433.7517,0.0004,433.75168,3e-05,100,
277,Fe,1,456.54112,0.00017,456.54107,7e-05,100,
278,Fe,1,454.13138,0.00017,454.13158,3e-05,98,
279,Fe,1,434.1813,0.0004,434.18115,3e-05,89,
280,Fe,1,442.5752,0.0004,442.57511,3e-05,89,
281,Fe,1,451.5166,0.0003,451.5165,3e-05,89,E
282,Fe,1,450.7213,0.0003,450.72151,5e-05,79,
283,Fe,1,457.14375,0.00017,457.14374,3e-05,76,E
284,Fe,1,445.0767,0.0004,445.07667,3e-05,71,E
285,Fe,1,425.6807,0.0004,425.68043,4e-05,71,
286,Fe,1,456.69882,0.00017,456.69893,5e-05,71,D
287,Fe,1,453.6486,0.0003,453.64866,5e-05,71,
288,Fe,1,437.0981,0.0004,437.09763,3e-05,71,
289,Fe,1,455.69247,0.00017,455.69242,3e-05,71,D
290,Fe,1,451.082,0.0003,451.08223,3e-05,71,
291,Fe,1,444.1545,0.0004,444.15464,3e-05,71,
292,Fe,1,453.3956,0.0003,453.39576,5e-05,63,
293,Fe,1,449.8533,0.0003,449.8536,3e-05,62,
294,Fe,1,452.5863,0.0003,452.58635,3e-05,60,E
295,Fe,1,430.8495,0.0003,430.84928,4e-05,52,
296,Fe,1,439.3024,0.0004,439.30286,3e-05,40,
297,Fe,1,456.8602,0.0003,456.86022,3e-05,40,
298,Fe,1,444.0969,0.0004,444.09691,3e-05,40,
299,Fe,1,446.3132,0.0003,446.31302,4e-05,25,
